path,label,label_text,split
data\raw\train\rabbit\rabbit_train_00072.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00073.jpg,2,llama,train
data\raw\train\swan\swan_train_00074.jpg,7,swan,train
data\raw\train\dog\dog_train_00075.jpg,5,dog,train
data\raw\train\llama\llama_train_00076.jpg,2,llama,train
data\raw\train\snail\snail_train_00077.jpg,6,snail,train
data\raw\train\deer\deer_train_00078.jpg,4,deer,train
data\raw\train\deer\deer_train_00079.jpg,4,deer,train
data\raw\train\swan\swan_train_00080.jpg,7,swan,train
data\raw\train\swan\swan_train_00081.jpg,7,swan,train
data\raw\train\dog\dog_train_00082.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00083.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00084.jpg,2,llama,train
data\raw\train\llama\llama_train_00085.jpg,2,llama,train
data\raw\train\swan\swan_train_00086.jpg,7,swan,train
data\raw\train\dog\dog_train_00087.jpg,5,dog,train
data\raw\train\cat\cat_train_00088.jpg,1,cat,train
data\raw\train\bird\bird_train_00089.jpg,0,bird,train
data\raw\train\swan\swan_train_00090.jpg,7,swan,train
data\raw\train\dog\dog_train_00091.jpg,5,dog,train
data\raw\train\dog\dog_train_00092.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00093.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00094.jpg,0,bird,train
data\raw\train\bird\bird_train_00095.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00096.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00097.jpg,0,bird,train
data\raw\train\swan\swan_train_00098.jpg,7,swan,train
data\raw\train\bird\bird_train_00099.jpg,0,bird,train
data\raw\train\swan\swan_train_00100.jpg,7,swan,train
data\raw\train\snail\snail_train_00101.jpg,6,snail,train
data\raw\train\snail\snail_train_00102.jpg,6,snail,train
data\raw\train\deer\deer_train_00103.jpg,4,deer,train
data\raw\train\swan\swan_train_00104.jpg,7,swan,train
data\raw\train\llama\llama_train_00105.jpg,2,llama,train
data\raw\train\deer\deer_train_00106.jpg,4,deer,train
data\raw\train\rabbit\rabbit_train_00107.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00108.jpg,1,cat,train
data\raw\train\deer\deer_train_00109.jpg,4,deer,train
data\raw\train\bird\bird_train_00110.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00111.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00112.jpg,5,dog,train
data\raw\train\swan\swan_train_00113.jpg,7,swan,train
data\raw\train\swan\swan_train_00114.jpg,7,swan,train
data\raw\train\deer\deer_train_00115.jpg,4,deer,train
data\raw\train\bird\bird_train_00116.jpg,0,bird,train
data\raw\train\snail\snail_train_00117.jpg,6,snail,train
data\raw\train\cat\cat_train_00118.jpg,1,cat,train
data\raw\train\dog\dog_train_00119.jpg,5,dog,train
data\raw\train\llama\llama_train_00120.jpg,2,llama,train
data\raw\train\llama\llama_train_00121.jpg,2,llama,train
data\raw\train\snail\snail_train_00122.jpg,6,snail,train
data\raw\train\dog\dog_train_00123.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00124.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00125.jpg,0,bird,train
data\raw\train\dog\dog_train_00126.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00127.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00128.jpg,5,dog,train
data\raw\train\bird\bird_train_00129.jpg,0,bird,train
data\raw\train\bird\bird_train_00130.jpg,0,bird,train
data\raw\train\deer\deer_train_00131.jpg,4,deer,train
data\raw\train\bird\bird_train_00132.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00133.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00134.jpg,7,swan,train
data\raw\train\llama\llama_train_00135.jpg,2,llama,train
data\raw\train\swan\swan_train_00136.jpg,7,swan,train
data\raw\train\swan\swan_train_00137.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00138.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00139.jpg,1,cat,train
data\raw\train\swan\swan_train_00140.jpg,7,swan,train
data\raw\train\deer\deer_train_00141.jpg,4,deer,train
data\raw\train\snail\snail_train_00142.jpg,6,snail,train
data\raw\train\dog\dog_train_00143.jpg,5,dog,train
data\raw\train\deer\deer_train_00144.jpg,4,deer,train
data\raw\train\snail\snail_train_00145.jpg,6,snail,train
data\raw\train\bird\bird_train_00146.jpg,0,bird,train
data\raw\train\swan\swan_train_00147.jpg,7,swan,train
data\raw\train\swan\swan_train_00148.jpg,7,swan,train
data\raw\train\cat\cat_train_00149.jpg,1,cat,train
data\raw\train\swan\swan_train_00150.jpg,7,swan,train
data\raw\train\deer\deer_train_00151.jpg,4,deer,train
data\raw\train\swan\swan_train_00152.jpg,7,swan,train
data\raw\train\deer\deer_train_00153.jpg,4,deer,train
data\raw\train\snail\snail_train_00154.jpg,6,snail,train
data\raw\train\llama\llama_train_00155.jpg,2,llama,train
data\raw\train\snail\snail_train_00156.jpg,6,snail,train
data\raw\train\dog\dog_train_00157.jpg,5,dog,train
data\raw\train\cat\cat_train_00158.jpg,1,cat,train
data\raw\train\deer\deer_train_00159.jpg,4,deer,train
data\raw\train\snail\snail_train_00160.jpg,6,snail,train
data\raw\train\llama\llama_train_00161.jpg,2,llama,train
data\raw\train\dog\dog_train_00162.jpg,5,dog,train
data\raw\train\swan\swan_train_00163.jpg,7,swan,train
data\raw\train\swan\swan_train_00164.jpg,7,swan,train
data\raw\train\llama\llama_train_00165.jpg,2,llama,train
data\raw\train\bird\bird_train_00166.jpg,0,bird,train
data\raw\train\dog\dog_train_00167.jpg,5,dog,train
data\raw\train\deer\deer_train_00168.jpg,4,deer,train
data\raw\train\deer\deer_train_00169.jpg,4,deer,train
data\raw\train\snail\snail_train_00170.jpg,6,snail,train
data\raw\train\snail\snail_train_00171.jpg,6,snail,train
data\raw\train\dog\dog_train_00172.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00173.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00174.jpg,0,bird,train
data\raw\train\bird\bird_train_00175.jpg,0,bird,train
data\raw\train\dog\dog_train_00176.jpg,5,dog,train
data\raw\train\cat\cat_train_00177.jpg,1,cat,train
data\raw\train\rabbit\rabbit_train_00178.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00179.jpg,2,llama,train
data\raw\train\dog\dog_train_00180.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00181.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00182.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00183.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00184.jpg,0,bird,train
data\raw\train\dog\dog_train_00185.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00186.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00187.jpg,2,llama,train
data\raw\train\llama\llama_train_00188.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00189.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00190.jpg,4,deer,train
data\raw\train\cat\cat_train_00191.jpg,1,cat,train
data\raw\train\dog\dog_train_00192.jpg,5,dog,train
data\raw\train\bird\bird_train_00193.jpg,0,bird,train
data\raw\train\swan\swan_train_00194.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00195.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00196.jpg,7,swan,train
data\raw\train\llama\llama_train_00197.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00198.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00199.jpg,1,cat,train
data\raw\train\cat\cat_train_00200.jpg,1,cat,train
data\raw\train\cat\cat_train_00201.jpg,1,cat,train
data\raw\train\dog\dog_train_00202.jpg,5,dog,train
data\raw\train\dog\dog_train_00203.jpg,5,dog,train
data\raw\train\deer\deer_train_00204.jpg,4,deer,train
data\raw\train\snail\snail_train_00205.jpg,6,snail,train
data\raw\train\bird\bird_train_00206.jpg,0,bird,train
data\raw\train\dog\dog_train_00207.jpg,5,dog,train
data\raw\train\deer\deer_train_00208.jpg,4,deer,train
data\raw\train\cat\cat_train_00209.jpg,1,cat,train
data\raw\train\dog\dog_train_00210.jpg,5,dog,train
data\raw\train\cat\cat_train_00211.jpg,1,cat,train
data\raw\train\rabbit\rabbit_train_00212.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00213.jpg,2,llama,train
data\raw\train\bird\bird_train_00214.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00215.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00216.jpg,2,llama,train
data\raw\train\swan\swan_train_00217.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00218.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00219.jpg,5,dog,train
data\raw\train\cat\cat_train_00220.jpg,1,cat,train
data\raw\train\cat\cat_train_00221.jpg,1,cat,train
data\raw\train\rabbit\rabbit_train_00222.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00223.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00224.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00225.jpg,4,deer,train
data\raw\train\deer\deer_train_00226.jpg,4,deer,train
data\raw\train\bird\bird_train_00227.jpg,0,bird,train
data\raw\train\dog\dog_train_00228.jpg,5,dog,train
data\raw\train\bird\bird_train_00229.jpg,0,bird,train
data\raw\train\bird\bird_train_00230.jpg,0,bird,train
data\raw\train\dog\dog_train_00231.jpg,5,dog,train
data\raw\train\snail\snail_train_00232.jpg,6,snail,train
data\raw\train\bird\bird_train_00233.jpg,0,bird,train
data\raw\train\snail\snail_train_00234.jpg,6,snail,train
data\raw\train\dog\dog_train_00235.jpg,5,dog,train
data\raw\train\deer\deer_train_00236.jpg,4,deer,train
data\raw\train\cat\cat_train_00237.jpg,1,cat,train
data\raw\train\cat\cat_train_00238.jpg,1,cat,train
data\raw\train\snail\snail_train_00239.jpg,6,snail,train
data\raw\train\rabbit\rabbit_train_00240.jpg,3,rabbit,train
data\raw\train\snail\snail_train_00241.jpg,6,snail,train
data\raw\train\cat\cat_train_00242.jpg,1,cat,train
data\raw\train\dog\dog_train_00243.jpg,5,dog,train
data\raw\train\bird\bird_train_00244.jpg,0,bird,train
data\raw\train\dog\dog_train_00245.jpg,5,dog,train
data\raw\train\deer\deer_train_00246.jpg,4,deer,train
data\raw\train\swan\swan_train_00247.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00248.jpg,3,rabbit,train
data\raw\train\snail\snail_train_00249.jpg,6,snail,train
data\raw\train\cat\cat_train_00250.jpg,1,cat,train
data\raw\train\swan\swan_train_00251.jpg,7,swan,train
data\raw\train\cat\cat_train_00252.jpg,1,cat,train
data\raw\train\rabbit\rabbit_train_00253.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00254.jpg,7,swan,train
data\raw\train\deer\deer_train_00255.jpg,4,deer,train
data\raw\train\rabbit\rabbit_train_00256.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00257.jpg,7,swan,train
data\raw\train\bird\bird_train_00258.jpg,0,bird,train
data\raw\train\dog\dog_train_00259.jpg,5,dog,train
data\raw\train\bird\bird_train_00260.jpg,0,bird,train
data\raw\train\dog\dog_train_00261.jpg,5,dog,train
data\raw\train\snail\snail_train_00262.jpg,6,snail,train
data\raw\train\bird\bird_train_00263.jpg,0,bird,train
data\raw\train\llama\llama_train_00264.jpg,2,llama,train
data\raw\train\swan\swan_train_00265.jpg,7,swan,train
data\raw\train\llama\llama_train_00266.jpg,2,llama,train
data\raw\train\snail\snail_train_00267.jpg,6,snail,train
data\raw\train\bird\bird_train_00268.jpg,0,bird,train
data\raw\train\llama\llama_train_00269.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00270.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00271.jpg,4,deer,train
data\raw\train\deer\deer_train_00272.jpg,4,deer,train
data\raw\train\swan\swan_train_00273.jpg,7,swan,train
data\raw\train\llama\llama_train_00274.jpg,2,llama,train
data\raw\train\bird\bird_train_00275.jpg,0,bird,train
data\raw\train\cat\cat_train_00276.jpg,1,cat,train
data\raw\train\swan\swan_train_00277.jpg,7,swan,train
data\raw\train\llama\llama_train_00278.jpg,2,llama,train
data\raw\train\swan\swan_train_00279.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00280.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00281.jpg,4,deer,train
data\raw\train\deer\deer_train_00282.jpg,4,deer,train
data\raw\train\rabbit\rabbit_train_00283.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00284.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00285.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00286.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00287.jpg,4,deer,train
data\raw\train\snail\snail_train_00288.jpg,6,snail,train
data\raw\train\dog\dog_train_00289.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00290.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00291.jpg,1,cat,train
data\raw\train\swan\swan_train_00292.jpg,7,swan,train
data\raw\train\llama\llama_train_00293.jpg,2,llama,train
data\raw\train\cat\cat_train_00294.jpg,1,cat,train
data\raw\train\deer\deer_train_00295.jpg,4,deer,train
data\raw\train\bird\bird_train_00296.jpg,0,bird,train
data\raw\train\dog\dog_train_00297.jpg,5,dog,train
data\raw\train\dog\dog_train_00298.jpg,5,dog,train
data\raw\train\snail\snail_train_00299.jpg,6,snail,train
data\raw\train\swan\swan_train_00300.jpg,7,swan,train
data\raw\train\cat\cat_train_00301.jpg,1,cat,train
data\raw\train\cat\cat_train_00302.jpg,1,cat,train
data\raw\train\cat\cat_train_00303.jpg,1,cat,train
data\raw\train\bird\bird_train_00304.jpg,0,bird,train
data\raw\train\swan\swan_train_00305.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00306.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00307.jpg,2,llama,train
data\raw\train\swan\swan_train_00308.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00309.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00310.jpg,2,llama,train
data\raw\train\dog\dog_train_00311.jpg,5,dog,train
data\raw\train\llama\llama_train_00312.jpg,2,llama,train
data\raw\train\snail\snail_train_00313.jpg,6,snail,train
data\raw\train\bird\bird_train_00314.jpg,0,bird,train
data\raw\train\bird\bird_train_00315.jpg,0,bird,train
data\raw\train\swan\swan_train_00316.jpg,7,swan,train
data\raw\train\dog\dog_train_00317.jpg,5,dog,train
data\raw\train\bird\bird_train_00318.jpg,0,bird,train
data\raw\train\bird\bird_train_00319.jpg,0,bird,train
data\raw\train\llama\llama_train_00320.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00321.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00322.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00323.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00324.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00325.jpg,2,llama,train
data\raw\train\dog\dog_train_00326.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00327.jpg,3,rabbit,train
data\raw\train\swan\swan_train_00328.jpg,7,swan,train
data\raw\train\llama\llama_train_00329.jpg,2,llama,train
data\raw\train\deer\deer_train_00330.jpg,4,deer,train
data\raw\train\dog\dog_train_00331.jpg,5,dog,train
data\raw\train\snail\snail_train_00332.jpg,6,snail,train
data\raw\train\dog\dog_train_00333.jpg,5,dog,train
data\raw\train\cat\cat_train_00334.jpg,1,cat,train
data\raw\train\dog\dog_train_00335.jpg,5,dog,train
data\raw\train\snail\snail_train_00336.jpg,6,snail,train
data\raw\train\cat\cat_train_00337.jpg,1,cat,train
data\raw\train\cat\cat_train_00338.jpg,1,cat,train
data\raw\train\dog\dog_train_00339.jpg,5,dog,train
data\raw\train\snail\snail_train_00340.jpg,6,snail,train
data\raw\train\deer\deer_train_00341.jpg,4,deer,train
data\raw\train\bird\bird_train_00342.jpg,0,bird,train
data\raw\train\llama\llama_train_00343.jpg,2,llama,train
data\raw\train\bird\bird_train_00344.jpg,0,bird,train
data\raw\train\llama\llama_train_00345.jpg,2,llama,train
data\raw\train\cat\cat_train_00346.jpg,1,cat,train
data\raw\train\cat\cat_train_00347.jpg,1,cat,train
data\raw\train\rabbit\rabbit_train_00348.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00349.jpg,4,deer,train
data\raw\train\dog\dog_train_00350.jpg,5,dog,train
data\raw\train\deer\deer_train_00351.jpg,4,deer,train
data\raw\train\deer\deer_train_00352.jpg,4,deer,train
data\raw\train\bird\bird_train_00353.jpg,0,bird,train
data\raw\train\bird\bird_train_00354.jpg,0,bird,train
data\raw\train\swan\swan_train_00355.jpg,7,swan,train
data\raw\train\bird\bird_train_00356.jpg,0,bird,train
data\raw\train\dog\dog_train_00357.jpg,5,dog,train
data\raw\train\dog\dog_train_00358.jpg,5,dog,train
data\raw\train\cat\cat_train_00359.jpg,1,cat,train
data\raw\train\swan\swan_train_00360.jpg,7,swan,train
data\raw\train\deer\deer_train_00361.jpg,4,deer,train
data\raw\train\dog\dog_train_00362.jpg,5,dog,train
data\raw\train\deer\deer_train_00363.jpg,4,deer,train
data\raw\train\dog\dog_train_00364.jpg,5,dog,train
data\raw\train\dog\dog_train_00365.jpg,5,dog,train
data\raw\train\swan\swan_train_00366.jpg,7,swan,train
data\raw\train\cat\cat_train_00367.jpg,1,cat,train
data\raw\train\dog\dog_train_00368.jpg,5,dog,train
data\raw\train\llama\llama_train_00369.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00370.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00371.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00372.jpg,2,llama,train
data\raw\train\dog\dog_train_00373.jpg,5,dog,train
data\raw\train\bird\bird_train_00374.jpg,0,bird,train
data\raw\train\bird\bird_train_00375.jpg,0,bird,train
data\raw\train\bird\bird_train_00376.jpg,0,bird,train
data\raw\train\deer\deer_train_00377.jpg,4,deer,train
data\raw\train\cat\cat_train_00378.jpg,1,cat,train
data\raw\train\cat\cat_train_00379.jpg,1,cat,train
data\raw\train\bird\bird_train_00380.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00381.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00382.jpg,0,bird,train
data\raw\train\cat\cat_train_00383.jpg,1,cat,train
data\raw\train\dog\dog_train_00384.jpg,5,dog,train
data\raw\train\deer\deer_train_00385.jpg,4,deer,train
data\raw\train\rabbit\rabbit_train_00386.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00387.jpg,2,llama,train
data\raw\train\snail\snail_train_00388.jpg,6,snail,train
data\raw\train\swan\swan_train_00389.jpg,7,swan,train
data\raw\train\swan\swan_train_00390.jpg,7,swan,train
data\raw\train\cat\cat_train_00391.jpg,1,cat,train
data\raw\train\llama\llama_train_00392.jpg,2,llama,train
data\raw\train\dog\dog_train_00393.jpg,5,dog,train
data\raw\train\snail\snail_train_00394.jpg,6,snail,train
data\raw\train\dog\dog_train_00395.jpg,5,dog,train
data\raw\train\deer\deer_train_00396.jpg,4,deer,train
data\raw\train\bird\bird_train_00397.jpg,0,bird,train
data\raw\train\cat\cat_train_00398.jpg,1,cat,train
data\raw\train\llama\llama_train_00399.jpg,2,llama,train
data\raw\train\swan\swan_train_00400.jpg,7,swan,train
data\raw\train\deer\deer_train_00401.jpg,4,deer,train
data\raw\train\snail\snail_train_00402.jpg,6,snail,train
data\raw\train\rabbit\rabbit_train_00403.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00404.jpg,0,bird,train
data\raw\train\llama\llama_train_00405.jpg,2,llama,train
data\raw\train\cat\cat_train_00406.jpg,1,cat,train
data\raw\train\bird\bird_train_00407.jpg,0,bird,train
data\raw\train\swan\swan_train_00408.jpg,7,swan,train
data\raw\train\bird\bird_train_00409.jpg,0,bird,train
data\raw\train\dog\dog_train_00410.jpg,5,dog,train
data\raw\train\rabbit\rabbit_train_00411.jpg,3,rabbit,train
data\raw\train\llama\llama_train_00412.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00413.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00414.jpg,1,cat,train
data\raw\train\deer\deer_train_00415.jpg,4,deer,train
data\raw\train\bird\bird_train_00416.jpg,0,bird,train
data\raw\train\swan\swan_train_00417.jpg,7,swan,train
data\raw\train\swan\swan_train_00418.jpg,7,swan,train
data\raw\train\deer\deer_train_00419.jpg,4,deer,train
data\raw\train\cat\cat_train_00420.jpg,1,cat,train
data\raw\train\snail\snail_train_00421.jpg,6,snail,train
data\raw\train\bird\bird_train_00422.jpg,0,bird,train
data\raw\train\dog\dog_train_00423.jpg,5,dog,train
data\raw\train\bird\bird_train_00424.jpg,0,bird,train
data\raw\train\snail\snail_train_00425.jpg,6,snail,train
data\raw\train\dog\dog_train_00426.jpg,5,dog,train
data\raw\train\swan\swan_train_00427.jpg,7,swan,train
data\raw\train\llama\llama_train_00428.jpg,2,llama,train
data\raw\train\rabbit\rabbit_train_00429.jpg,3,rabbit,train
data\raw\train\cat\cat_train_00430.jpg,1,cat,train
data\raw\train\deer\deer_train_00431.jpg,4,deer,train
data\raw\train\bird\bird_train_00432.jpg,0,bird,train
data\raw\train\bird\bird_train_00433.jpg,0,bird,train
data\raw\train\cat\cat_train_00434.jpg,1,cat,train
data\raw\train\llama\llama_train_00435.jpg,2,llama,train
data\raw\train\bird\bird_train_00436.jpg,0,bird,train
data\raw\train\rabbit\rabbit_train_00437.jpg,3,rabbit,train
data\raw\train\bird\bird_train_00438.jpg,0,bird,train
data\raw\train\llama\llama_train_00439.jpg,2,llama,train
data\raw\train\snail\snail_train_00440.jpg,6,snail,train
data\raw\train\swan\swan_train_00441.jpg,7,swan,train
data\raw\train\swan\swan_train_00442.jpg,7,swan,train
data\raw\train\snail\snail_train_00443.jpg,6,snail,train
data\raw\train\rabbit\rabbit_train_00444.jpg,3,rabbit,train
data\raw\train\rabbit\rabbit_train_00445.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00446.jpg,4,deer,train
data\raw\train\dog\dog_train_00447.jpg,5,dog,train
data\raw\train\swan\swan_train_00448.jpg,7,swan,train
data\raw\train\bird\bird_train_00449.jpg,0,bird,train
data\raw\train\cat\cat_train_00450.jpg,1,cat,train
data\raw\train\swan\swan_train_00451.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00452.jpg,3,rabbit,train
data\raw\train\dog\dog_train_00453.jpg,5,dog,train
data\raw\train\swan\swan_train_00454.jpg,7,swan,train
data\raw\train\swan\swan_train_00455.jpg,7,swan,train
data\raw\train\bird\bird_train_00456.jpg,0,bird,train
data\raw\train\swan\swan_train_00457.jpg,7,swan,train
data\raw\train\rabbit\rabbit_train_00458.jpg,3,rabbit,train
data\raw\train\deer\deer_train_00459.jpg,4,deer,train
data\raw\train\dog\dog_train_00460.jpg,5,dog,train
data\raw\train\cat\cat_train_00461.jpg,1,cat,train
data\raw\train\dog\dog_train_00462.jpg,5,dog,train
data\raw\train\llama\llama_train_00463.jpg,2,llama,train
data\raw\train\cat\cat_train_00464.jpg,1,cat,train
data\raw\train\snail\snail_train_00465.jpg,6,snail,train
data\raw\train\bird\bird_train_00466.jpg,0,bird,train
data\raw\train\snail\snail_train_00467.jpg,6,snail,train
data\raw\train\deer\deer_train_00468.jpg,4,deer,train
